Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-22 15:39:55,2023-11-22 15:41:06,1m - 10.816s,FAILED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-22 15:39:56,2023-11-22 15:41:06,1m - 10.355s,FAILED
"comment(""Register Success"")",,,,2023-11-22 15:39:56,2023-11-22 15:39:56,0.082s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-22 15:39:56,2023-11-22 15:39:56,0.242s,PASSED
"startApplication(appPath, false)",,,,2023-11-22 15:39:56,2023-11-22 15:40:32,36.097s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-22 15:40:32,2023-11-22 15:41:06,33.535s,FAILED
